77.07,0.0000,41.25,0.0000,196.35,0.0000,90.12,0.0000,44.66,0.0000,257.31,0.0000,549.03,0.0000,93.2,0.0000,51.1,0.0000,35.12,0.0000,131.66,0.0000,64.75,0.0000,37.6,0.0000,27.62,0.0000,21.34,0.0000,12.72,0.0000,32.71,0.0000,20.34,0.0000,510.27,0.0000,70.84,0.0000,89.15,0.0000,41.88,0.0000,63.48,0.0000,110.39,0.0000,12.03,0.0000
77.47,0.0052,41.39,0.0034,195.27,-0.0055,90.63,0.0057,44.57,-0.0020,258.48,0.0045,542.0959,-0.0126,93.6211,0.0045,51.21,0.0022,34.83,-0.0083,130.94,-0.0055,65.0,0.0039,37.6,0.0000,27.25,-0.0134,21.1,-0.0112,12.73,0.0008,33.24,0.0162,20.45,0.0054,511.0,0.0014,70.74,-0.0014,88.59,-0.0063,42.47,0.0141,63.3,-0.0028,109.92,-0.0043,11.96,-0.0058
77.69,0.0028,42.4298,0.0251,193.99,-0.0066,89.8487,-0.0086,45.36,0.0177,259.15,0.0026,527.0,-0.0278,93.85,0.0024,52.19,0.0191,34.3908,-0.0126,134.51,0.0273,66.33,0.0205,37.66,0.0016,26.74,-0.0187,21.2,0.0047,13.15,0.0330,33.35,0.0033,20.4819,0.0016,510.98,0.0000,71.55,0.0115,88.98,0.0044,42.66,0.0045,63.18,-0.0019,110.5,0.0053,12.11,0.0125
76.13,-0.0201,42.47,0.0009,193.14,-0.0044,90.91,0.0118,45.41,0.0011,268.4592,0.0359,523.9,-0.0059,93.45,-0.0043,50.97,-0.0234,34.46,0.0020,134.26,-0.0019,66.36,0.0005,37.3,-0.0096,26.69,-0.0019,21.13,-0.0033,12.77,-0.0289,33.4,0.0015,20.2903,-0.0094,519.53,0.0167,71.4,-0.0021,88.53,-0.0051,43.16,0.0117,62.8412,-0.0054,109.75,-0.0068,12.09,-0.0017
74.13,-0.0263,42.46,-0.0002,192.87,-0.0014,90.94,0.0003,45.5,0.0020,266.38,-0.0077,525.31,0.0027,93.81,0.0039,50.76,-0.0041,33.71,-0.0218,133.05,-0.0090,65.74,-0.0093,37.04,-0.0070,26.55,-0.0052,20.9,-0.0109,12.4915,-0.0218,33.49,0.0027,20.31,0.0010,517.82,-0.0033,71.41,0.0001,88.15,-0.0043,43.11,-0.0012,63.22,0.0060,109.26,-0.0045,11.98,-0.0091
76.76,0.0355,42.04,-0.0099,192.32,-0.0029,90.81,-0.0014,45.47,-0.0007,266.35,-0.0001,517.1,-0.0156,93.32,-0.0052,50.78,0.0004,33.9,0.0056,134.32,0.0095,66.54,0.0122,37.03,-0.0003,26.7,0.0056,20.95,0.0024,12.21,-0.0225,33.68,0.0057,20.3,-0.0005,532.39,0.0281,71.73,0.0045,88.67,0.0059,43.38,0.0063,63.17,-0.0008,109.54,0.0026,11.43,-0.0459
77.09,0.0043,42.83,0.0188,192.88,0.0029,91.4,0.0065,46.15,0.0150,265.34,-0.0038,523.51,0.0124,94.65,0.0143,50.79,0.0002,34.0,0.0029,137.37,0.0227,66.42,-0.0018,36.96,-0.0019,26.46,-0.0090,21.17,0.0105,12.23,0.0016,34.09,0.0122,20.44,0.0069,527.65,-0.0089,72.19,0.0064,87.81,-0.0097,43.85,0.0108,63.62,0.0071,110.47,0.0085,11.78,0.0306
75.16,-0.0250,42.34,-0.0114,194.45,0.0081,91.73,0.0036,46.14,-0.0002,267.94,0.0098,520.3,-0.0061,94.39,-0.0027,50.58,-0.0041,33.85,-0.0044,137.13,-0.0017,66.31,-0.0017,36.91,-0.0014,26.83,0.0140,21.13,-0.0019,12.21,-0.0016,34.13,0.0012,20.48,0.0020,528.68,0.0020,72.35,0.0022,86.96,-0.0097,44.07,0.0050,63.7,0.0013,111.73,0.0114,11.63,-0.0127
76.55,0.0185,42.22,-0.0028,192.62,-0.0094,91.53,-0.0022,45.88,-0.0056,272.73,0.0179,501.75,-0.0357,95.36,0.0103,50.59,0.0002,34.09,0.0071,136.13,-0.0073,66.76,0.0068,36.99,0.0022,26.89,0.0022,21.12,-0.0005,12.2,-0.0008,34.22,0.0026,20.97,0.0239,523.51,-0.0098,72.56,0.0029,86.92,-0.0005,44.22,0.0034,63.48,-0.0035,112.85,0.0100,11.47,-0.0138
76.94,0.0051,42.57,0.0083,192.5,-0.0006,91.51,-0.0002,46.35,0.0102,271.9,-0.0030,485.92,-0.0315,95.36,0.0000,51.09,0.0099,34.6,0.0150,135.59,-0.0040,66.88,0.0018,37.32,0.0089,27.21,0.0119,21.2,0.0038,11.98,-0.0180,34.3,0.0023,20.98,0.0005,522.8,-0.0014,72.37,-0.0026,85.08,-0.0212,44.13,-0.0020,63.95,0.0074,113.44,0.0052,11.55,0.0070
