0,,1,2,,3,4,,5,6,,7,8,,9,10,,11,12,,13,14,,15,16,,17,18,,19,20,,21,22,,23,24,,25,26,,27,28,,29,30,,31,32,,33,34,,35,36,,37,38,,39,40,,41,42,,43,44,,45,46,,47,48,,49
32.78,1,0.0024,78.87,1,0.0022,138.58,1,0.0047,60.74,1,0.002,17.27,1,0.0064,100.96,0,-0.0056,171.13,1,0.0088,13.83,0,-0.0065,81.74,0,-0.0121,14.22,0,0,711.32,0,-0.0054,43.52,0,-0.0342,41.64,1,0.0259,98.08,1,0.0049,71.08,0,-0.0032,148.09,1,0.0009,54.82,0,-0.0038,54.5,1,0.0028,159.9,1,0.0011,25.76,0,-0.0168,54.4,1,0.0138,25.71,1,0.0065,42.13,1,0.0149,35.03,0,-0.0017,90.2,1,0.0082
32.74,0,-0.0012,79.35,1,0.0061,138.56,0,-0.0001,59.78,0,-0.0158,17.45,1,0.0104,101.2,1,0.0024,170.02,0,-0.0065,13.61,0,-0.0159,81,0,-0.0091,14.11,0,-0.0077,704.51,0,-0.0096,43.5,0,-0.0005,41.91,1,0.0065,98.74,1,0.0067,71.55,1,0.0066,150.26,1,0.0147,55.85,1,0.0188,54.81,1,0.0057,159.89,0,-0.0001,24.79,0,-0.0377,54.56,1,0.0029,25.86,1,0.0058,42.54,1,0.0097,34.93,0,-0.0029,90.8,1,0.0067
32.9,1,0.0049,79.25,0,-0.0013,139.15,1,0.0043,59.4,0,-0.0064,17.38,0,-0.004,102.15,1,0.0094,166.89,0,-0.0184,14.01,1,0.0294,80.2,0,-0.0099,14.17,1,0.0043,702.87,0,-0.0023,44.14,1,0.0147,42.06,1,0.0036,99.33,1,0.006,71.98,1,0.006,150.92,1,0.0044,56.52,1,0.012,54.99,1,0.0033,160.95,1,0.0066,25.2,1,0.0165,56.02,1,0.0268,25.92,1,0.0023,42.94,1,0.0094,35.04,1,0.0031,90.92,1,0.0013
32.81,0,-0.0027,78.97,0,-0.0035,138.96,0,-0.0014,58.93,0,-0.0079,17.3,0,-0.0046,102.12,0,-0.0003,170.42,1,0.0212,13.78,0,-0.0164,80.09,0,-0.0014,13.88,0,-0.0205,741.5,1,0.055,43.01,0,-0.0256,42.25,1,0.0045,99.49,1,0.0016,71.79,0,-0.0026,150.82,0,-0.0007,55.48,0,-0.0184,54.46,0,-0.0096,161.5,1,0.0034,25,0,-0.0079,55.91,0,-0.002,26.1,1,0.0069,42.79,0,-0.0035,34.95,0,-0.0026,90.7,0,-0.0024
32.8,0,-0.0003,79.63,1,0.0084,138.34,0,-0.0045,59.3,1,0.0063,17.25,0,-0.0029,102.89,1,0.0075,172.29,1,0.011,13.93,1,0.0109,80.94,1,0.0106,13.87,0,-0.0007,753.83,1,0.0166,43.25,1,0.0056,42.39,1,0.0033,99.67,1,0.0018,72.1,1,0.0043,151.73,1,0.006,55.83,1,0.0063,54.57,1,0.002,162.16,1,0.0041,25.54,1,0.0216,56.22,1,0.0055,26.78,1,0.0261,42.59,0,-0.0047,35.16,1,0.006,91.35,1,0.0072
32.79,0,-0.0003,79.9,1,0.0034,138.42,1,0.0006,59.5,1,0.0034,17.21,0,-0.0023,102.36,0,-0.0052,173.86,1,0.0091,14.17,1,0.0172,80.41,0,-0.0065,13.68,0,-0.0137,753.67,0,-0.0002,43.59,1,0.0079,42.51,1,0.0028,100.59,1,0.0092,72.5,1,0.0055,152.7,1,0.0064,55.8,0,-0.0005,56.81,1,0.041,162.35,1,0.0012,25.5,0,-0.0016,56.04,0,-0.0032,27.07,1,0.0108,42.67,1,0.0019,35.14,0,-0.0006,91.73,1,0.0042
33,1,0.0064,78.88,0,-0.0128,137.64,0,-0.0056,59.07,0,-0.0072,17.18,0,-0.0017,102.49,1,0.0013,178.07,1,0.0242,13.94,0,-0.0162,81.11,1,0.0087,13.78,1,0.0073,750.73,0,-0.0039,40.02,0,-0.0819,42.12,0,-0.0092,100.65,1,0.0006,72.4,0,-0.0014,153.44,1,0.0048,54.87,0,-0.0167,56.02,0,-0.0139,162.71,1,0.0022,24.8,0,-0.0275,55.81,0,-0.0041,27.05,0,-0.0007,42.77,1,0.0023,35.11,0,-0.0009,91.11,0,-0.0068
33.33,1,0.01,78.62,0,-0.0033,137.92,1,0.002,59.45,1,0.0064,17.15,0,-0.0017,103.36,1,0.0085,174.69,0,-0.019,13.68,0,-0.0187,80.71,0,-0.0049,13.14,0,-0.0464,753.68,1,0.0039,38.67,0,-0.0337,41.9,0,-0.0052,101.81,1,0.0115,72.61,1,0.0029,154.22,1,0.0051,56.41,1,0.0281,55.6,0,-0.0075,162.79,1,0.0005,23.96,0,-0.0339,56.28,1,0.0084,27.31,1,0.0096,43.5,1,0.0171,35.27,1,0.0046,91.76,1,0.0071
33.22,0,-0.0033,76.95,0,-0.0212,135.64,0,-0.0165,59.33,0,-0.002,17,0,-0.0087,102.53,0,-0.008,172.3,0,-0.0137,13.84,1,0.0117,79.99,0,-0.0089,12.93,0,-0.016,753.83,1,0.0002,37.09,0,-0.0409,41.77,0,-0.0031,100.8,0,-0.0099,72,0,-0.0084,153.82,0,-0.0026,55.89,0,-0.0092,56,1,0.0072,161.38,0,-0.0087,24.08,1,0.005,56.08,0,-0.0036,27.38,1,0.0026,43.61,1,0.0025,34.97,0,-0.0085,90.67,0,-0.0119
33.88,1,0.0199,76.15,0,-0.0104,129.79,0,-0.0431,58.81,0,-0.0088,17.48,1,0.0282,102.34,0,-0.0019,172.13,0,-0.001,13.89,1,0.0036,79.58,0,-0.0051,12.95,1,0.0015,755.69,1,0.0025,36.32,0,-0.0208,41.42,0,-0.0084,100.55,0,-0.0025,72.05,1,0.0007,153.93,1,0.0007,56.47,1,0.0104,56.12,1,0.0021,160.18,0,-0.0074,24.15,1,0.0029,55.21,0,-0.0155,27.32,0,-0.0022,43.61,0,0,34.83,0,-0.004,89.97,0,-0.0077
33.87,0,-0.0003,76.65,1,0.0066,126.11,0,-0.0284,59.91,1,0.0187,17.55,1,0.004,104.15,1,0.0177,175.06,1,0.017,13.82,0,-0.005,79.61,1,0.0004,13.02,1,0.0054,775.6,1,0.0263,35.07,0,-0.0344,42.35,1,0.0225,101.56,1,0.01,72.28,1,0.0032,155.5,1,0.0102,58,1,0.0271,56.86,1,0.0132,161.97,1,0.0112,24.18,1,0.0012,55.77,1,0.0101,27.3,0,-0.0007,44.56,1,0.0218,35.13,1,0.0086,90.04,1,0.0008
33.5,0,-0.0109,76.46,0,-0.0025,125.93,0,-0.0014,59.41,0,-0.0083,17.22,0,-0.0188,102.48,0,-0.016,172.76,0,-0.0131,13.86,1,0.0029,79.25,0,-0.0045,12.88,0,-0.0108,759.02,0,-0.0214,35.54,1,0.0134,42.12,0,-0.0054,100.77,0,-0.0078,71.99,0,-0.004,156.39,1,0.0057,56.63,0,-0.0236,56.09,0,-0.0135,162.51,1,0.0033,23.95,0,-0.0095,55.75,0,-0.0004,26.97,0,-0.0121,44.52,0,-0.0009,34.76,0,-0.0105,89.15,0,-0.0099
33.84,1,0.0101,76.73,1,0.0035,126.37,1,0.0035,60.66,1,0.021,17.07,0,-0.0087,103.31,1,0.0081,172.4,0,-0.0021,13.93,1,0.0051,79.98,1,0.0092,13.18,1,0.0233,765.74,1,0.0089,35.75,1,0.0059,42.79,1,0.0159,101.49,1,0.0071,72.16,1,0.0024,156.94,1,0.0035,56.79,1,0.0028,56.2,1,0.002,161.76,0,-0.0046,24.26,1,0.0129,57.77,1,0.0362,26.89,0,-0.003,44.56,1,0.0009,34.85,1,0.0026,89.74,1,0.0066
34.1,1,0.0077,75.95,0,-0.0102,128.49,1,0.0168,60.56,0,-0.0016,17.07,0,0,101.7,0,-0.0156,171.3,0,-0.0064,14.47,1,0.0388,81.46,1,0.0185,13.2,1,0.0015,770.17,1,0.0058,35.79,1,0.0011,42.45,0,-0.0079,102.69,1,0.0118,72.01,0,-0.0021,157.02,1,0.0005,57.49,1,0.0123,56.05,0,-0.0027,161.7,0,-0.0004,25.32,1,0.0437,57.38,0,-0.0068,26.89,0,0,44.75,1,0.0043,34.97,1,0.0034,89.79,1,0.0006
34.39,1,0.0085,75.89,0,-0.0008,126.99,0,-0.0117,62.14,1,0.0261,17.17,1,0.0059,101.85,1,0.0015,170.05,0,-0.0073,14.86,1,0.027,81.1,0,-0.0044,13.07,0,-0.0098,773.95,1,0.0049,35.92,1,0.0036,42.15,0,-0.0071,102.22,0,-0.0046,72.25,1,0.0033,156.04,0,-0.0062,57.28,0,-0.0037,55.86,0,-0.0034,160.79,0,-0.0056,25.72,1,0.0158,57.05,0,-0.0058,27.1,1,0.0078,44.46,0,-0.0065,34.66,0,-0.0089,88.25,0,-0.0172
34.41,1,0.0006,77.06,1,0.0154,128.84,1,0.0146,61.8,0,-0.0055,17.53,1,0.021,102.79,1,0.0092,169.95,0,-0.0006,14.62,0,-0.0162,82.17,1,0.0132,13.1,1,0.0023,785.37,1,0.0148,35.85,0,-0.0019,42.6,1,0.0107,102.66,1,0.0043,72.1,0,-0.0021,157.4,1,0.0087,57.58,1,0.0052,56.37,1,0.0091,162.76,1,0.0123,26.31,1,0.0229,57.74,1,0.0121,27.51,1,0.0151,44.35,0,-0.0025,34.88,1,0.0063,88.61,1,0.0041
34.26,0,-0.0044,76.38,0,-0.0088,129.78,1,0.0073,61.98,1,0.0029,17.49,0,-0.0023,101.99,0,-0.0078,170.63,1,0.004,14.69,1,0.0048,81.41,0,-0.0092,13.11,1,0.0008,782.42,0,-0.0038,36.09,1,0.0067,42.17,0,-0.0101,102.62,0,-0.0004,72.18,1,0.0011,156.85,0,-0.0035,57.47,0,-0.0019,56.14,0,-0.0041,163.5,1,0.0045,26.51,1,0.0076,57.12,0,-0.0107,27.2,0,-0.0113,44.32,0,-0.0007,35.26,1,0.0109,88.28,0,-0.0037
34.3,1,0.0012,75.59,0,-0.0103,130.83,1,0.0081,62.2,1,0.0035,17.31,0,-0.0103,101.76,0,-0.0023,172.36,1,0.0101,14.5,0,-0.0129,82.59,1,0.0145,13.08,0,-0.0023,780.7,0,-0.0022,36,0,-0.0025,42.01,0,-0.0038,103.46,1,0.0082,72.49,1,0.0043,157.13,1,0.0018,57.3,0,-0.003,56.26,1,0.0021,162.97,0,-0.0032,25.89,0,-0.0234,57.01,0,-0.0019,27.23,1,0.0011,44.44,1,0.0027,35.51,1,0.0071,88.46,1,0.002
34.46,1,0.0047,74,0,-0.021,130.23,0,-0.0046,62.1,0,-0.0016,17.36,1,0.0029,101.63,0,-0.0013,172.3,0,-0.0003,14.78,1,0.0193,82.81,1,0.0027,13.04,0,-0.0031,782.86,1,0.0028,36.4,1,0.0111,41.75,0,-0.0062,102.86,0,-0.0058,72.55,1,0.0008,156.08,0,-0.0067,58.37,1,0.0187,55.83,0,-0.0076,162.05,0,-0.0056,26.19,1,0.0116,57.23,1,0.0039,26.65,0,-0.0213,44.52,1,0.0018,35.13,0,-0.0107,88.67,1,0.0024
34.7,1,0.007,73.48,0,-0.007,130.05,0,-0.0014,62.34,1,0.0039,17.34,0,-0.0012,102.02,1,0.0038,174.46,1,0.0125,14.24,0,-0.0365,83.45,1,0.0077,13.11,1,0.0054,787.82,1,0.0063,38.27,1,0.0514,41.8,1,0.0012,102.78,0,-0.0008,72.2,0,-0.0048,154.2,0,-0.012,58.15,0,-0.0038,55.55,0,-0.005,160.57,0,-0.0091,25.87,0,-0.0122,57.05,0,-0.0031,26.05,0,-0.0225,44.33,0,-0.0043,35.21,1,0.0023,88.52,0,-0.0017
35.08,1,0.011,75.18,1,0.0231,130.26,1,0.0016,61.69,0,-0.0104,17.07,0,-0.0156,102.17,1,0.0015,175.03,1,0.0033,14.45,1,0.0147,82.94,0,-0.0061,13.02,0,-0.0069,792.89,1,0.0064,38.74,1,0.0123,42.17,1,0.0089,103.23,1,0.0044,72.5,1,0.0042,151.26,0,-0.0191,57.77,0,-0.0065,54.34,0,-0.0218,159.9,0,-0.0042,26.37,1,0.0193,57.32,1,0.0047,25.95,0,-0.0038,44.4,1,0.0016,35.16,0,-0.0014,88.36,0,-0.0018
34.82,0,-0.0074,74.62,0,-0.0074,130.42,1,0.0012,62.28,1,0.0096,17.2,1,0.0076,101.9,0,-0.0026,174.83,0,-0.0011,14.3,0,-0.0104,83.8,1,0.0104,12.99,0,-0.0023,806.85,1,0.0176,39.74,1,0.0258,41.91,0,-0.0062,104.18,1,0.0092,72.9,1,0.0055,152.72,1,0.0097,57.46,0,-0.0054,54.45,1,0.002,160.5,1,0.0038,26.75,1,0.0144,56.66,0,-0.0115,25.33,0,-0.0239,44.5,1,0.0023,35.14,0,-0.0006,89.32,1,0.0109
34.52,0,-0.0086,73.95,0,-0.009,129.69,0,-0.0056,61.91,0,-0.0059,17.1,0,-0.0058,101.08,0,-0.008,171.08,0,-0.0214,13.82,0,-0.0336,85.27,1,0.0175,12.6,0,-0.03,792.46,0,-0.0178,37.78,0,-0.0493,40.07,0,-0.0439,103.15,0,-0.0099,72.94,1,0.0005,152.46,0,-0.0017,55.26,0,-0.0383,53.31,0,-0.0209,159.52,0,-0.0061,26.08,0,-0.025,55.21,0,-0.0256,24.69,0,-0.0253,44.92,1,0.0094,35.1,0,-0.0011,88.97,0,-0.0039
34.26,0,-0.0075,73.78,0,-0.0023,127.7,0,-0.0153,61.54,0,-0.006,17.05,0,-0.0029,100.69,0,-0.0039,168.55,0,-0.0148,13.56,0,-0.0188,84.87,0,-0.0047,12.39,0,-0.0167,795.53,1,0.0039,37.79,1,0.0003,41.31,1,0.0309,102.72,0,-0.0042,72.53,0,-0.0056,152.01,0,-0.003,53.66,0,-0.029,53.35,1,0.0008,158.02,0,-0.0094,25.91,0,-0.0065,55.24,1,0.0005,24.58,0,-0.0045,45.12,1,0.0045,35.46,1,0.0103,88.59,0,-0.0043
34.55,1,0.0085,74.52,1,0.01,128.83,1,0.0088,62.57,1,0.0167,17.17,1,0.007,101.16,1,0.0047,170.56,1,0.0119,13.75,1,0.014,86.19,1,0.0156,12.48,1,0.0073,799.71,1,0.0053,36.79,0,-0.0265,43,1,0.0409,103.54,1,0.008,72.75,1,0.003,152.41,1,0.0026,53.57,0,-0.0017,54.17,1,0.0154,159.72,1,0.0108,26.36,1,0.0174,54.47,0,-0.0139,25.01,1,0.0175,45.4,1,0.0062,35.82,1,0.0102,89.2,1,0.0069
