0,,1,2,,3,4,,5,6,,7,8,,9,10,,11,12,,13,14,,15,16,,17,18,,19,20,,21,22,,23,24,,25,26,,27,28,,29,30,,31,32,,33,34,,35,36,,37,38,,39,40,,41,42,,43,44,,45,46,,47,48,,49
82.39,1,0.0012,97.7,1,0.0023,26.83,1,0.0083,68.93,1,0.0179,33.2,0,-0.0018,77.53,1,0.0047,62.13,1,0.0266,33.16,1,0.026,62.07,1,0.0088,14.48,0,-0.0103,37.73,0,-0.004,107.12,0,-0.0044,74,0,-0.0001,64.23,1,0.0041,29.49,1,0.0061,94.75,1,0.0128,11.4,1,0.0106,28.055,1,0.0084,20.75,1,0.0102,38.72,1,0.007,32.76,0,-0.0118,4.61,1,0.0199,3.26,0,-0.024,71.08,0,-0.0032,68.85,0,-0.0052
82.58,1,0.0023,99.17,1,0.015,26.54,0,-0.0108,69.4,1,0.0068,33.44,1,0.0072,78.28,1,0.0097,62.59,1,0.0074,33.08,0,-0.0024,62.03,0,-0.0006,14.44,0,-0.0028,37.98,1,0.0066,107.83,1,0.0066,74.29,1,0.0039,62.85,0,-0.0215,29.28,0,-0.0071,93.97,0,-0.0082,11.26,0,-0.0123,28.08,1,0.0009,22.38,1,0.0786,39.5,1,0.0201,32.87,1,0.0034,4.61,0,0,3.3,1,0.0123,71.55,1,0.0066,69.2,1,0.0051
83.6,1,0.0124,97.81,0,-0.0137,26.68,1,0.0053,69.68,1,0.004,33.61,1,0.0051,77.91,0,-0.0047,61.47,0,-0.0179,33.54,1,0.0139,62.97,1,0.0152,14.85,1,0.0284,37.95,0,-0.0008,108.92,1,0.0101,74.76,1,0.0063,62.81,0,-0.0006,28.63,0,-0.0222,95.33,1,0.0145,11.48,1,0.0195,27.56,0,-0.0185,22.98,1,0.0268,39.32,0,-0.0046,33,1,0.004,4.64,1,0.0065,3.4,1,0.0303,71.98,1,0.006,69.58,1,0.0055
82.92,0,-0.0081,103.26,1,0.0557,26.65,0,-0.0011,69.8,1,0.0017,33.78,1,0.0051,76.84,0,-0.0137,62.11,1,0.0104,33.66,1,0.0036,62.91,0,-0.001,15.07,1,0.0148,38.25,1,0.0079,108.76,0,-0.0015,75.13,1,0.0049,62.4,0,-0.0065,28.57,0,-0.0021,96.07,1,0.0078,11.36,0,-0.0105,27.79,1,0.0083,22.67,0,-0.0135,39.64,1,0.0081,33.09,1,0.0027,4.57,0,-0.0151,3.43,1,0.0088,71.79,0,-0.0026,69.49,0,-0.0013
83.4,1,0.0058,146.86,1,0.4222,26.85,1,0.0075,69.76,0,-0.0006,33.75,0,-0.0009,78.4,1,0.0203,62.52,1,0.0066,33.77,1,0.0033,62.9,0,-0.0002,14.67,0,-0.0265,38.1,0,-0.0039,109,1,0.0022,74.32,0,-0.0108,62.54,1,0.0022,28.78,1,0.0074,93.25,0,-0.0294,11.45,1,0.0079,27.83,1,0.0014,22.6,0,-0.0031,40.18,1,0.0136,33.11,1,0.0006,4.57,0,0,3.36,0,-0.0204,72.1,1,0.0043,69.79,1,0.0043
84.06,1,0.0079,169.56,1,0.1546,27,1,0.0056,71.21,1,0.0208,34.02,1,0.008,79.36,1,0.0122,62.75,1,0.0037,33.78,1,0.0003,62.95,1,0.0008,14.97,1,0.0204,38.32,1,0.0058,109.46,1,0.0042,73.45,0,-0.0117,63.25,1,0.0114,29.07,1,0.0101,92.39,0,-0.0092,11.44,0,-0.0009,27.78,0,-0.0018,22.7,1,0.0044,40.64,1,0.0114,33.17,1,0.0018,4.54,0,-0.0066,3.43,1,0.0208,72.5,1,0.0055,69,0,-0.0113
83.84,0,-0.0026,162.11,0,-0.0439,26.84,0,-0.0059,70.75,0,-0.0065,34.13,1,0.0032,39.44,0,-0.503,61.24,0,-0.0241,33.52,0,-0.0077,63.19,1,0.0038,15.03,1,0.004,38.24,0,-0.0021,108.83,0,-0.0058,73.38,0,-0.001,63.14,0,-0.0017,28.83,0,-0.0083,89.32,0,-0.0332,11.43,0,-0.0009,27.81,1,0.0011,22.31,0,-0.0172,40.93,1,0.0071,33.17,0,0,4.53,0,-0.0022,3.51,1,0.0233,72.4,0,-0.0014,69.35,1,0.0051
85.11,1,0.0151,169.12,1,0.0432,27.7,1,0.032,70.42,0,-0.0047,34.68,1,0.0161,39.9,1,0.0117,63.26,1,0.033,33.93,1,0.0122,63.28,1,0.0014,14.42,0,-0.0406,38.52,1,0.0073,108.85,1,0.0002,72.56,0,-0.0112,63.72,1,0.0092,28.45,0,-0.0132,89.85,1,0.0059,11.33,0,-0.0087,27.83,1,0.0007,22.59,1,0.0126,40.74,0,-0.0046,33.33,1,0.0048,4.6,1,0.0155,3.64,1,0.037,72.61,1,0.0029,69.89,1,0.0078
85.32,1,0.0025,167.7,0,-0.0084,27.51,0,-0.0069,70.39,0,-0.0004,34.48,0,-0.0058,39.85,0,-0.0013,63.02,0,-0.0038,33.55,0,-0.0112,63.01,0,-0.0043,14.3,0,-0.0083,37.94,0,-0.0151,106.51,0,-0.0215,70.94,0,-0.0223,62.87,0,-0.0133,27.94,0,-0.0179,88.21,0,-0.0183,11.24,0,-0.0079,27.73,0,-0.0036,22.98,1,0.0173,40.05,0,-0.0169,33.14,0,-0.0057,4.57,0,-0.0065,3.79,1,0.0412,72,0,-0.0084,69.75,0,-0.002
88.27,1,0.0346,165.24,0,-0.0147,27.28,0,-0.0084,72.14,1,0.0249,34.79,1,0.009,39.45,0,-0.01,63.42,1,0.0063,33.61,1,0.0018,62.84,0,-0.0027,14.28,0,-0.0014,37.83,0,-0.0029,105.28,0,-0.0115,70.52,0,-0.0059,60.93,0,-0.0309,28.09,1,0.0054,86.87,0,-0.0152,11.21,0,-0.0027,27.79,1,0.0022,22.85,0,-0.0057,39.9,0,-0.0037,33.1,0,-0.0012,4.54,0,-0.0066,3.74,0,-0.0132,72.05,1,0.0007,69.95,1,0.0029
87.68,0,-0.0067,164.8,0,-0.0027,27.63,1,0.0128,74.78,1,0.0366,35.51,1,0.0207,40.56,1,0.0281,61.37,0,-0.0323,34.21,1,0.0179,62.44,0,-0.0064,14.12,0,-0.0112,38.34,1,0.0135,105.1,0,-0.0017,71.49,1,0.0138,62.72,1,0.0294,28.17,1,0.0028,87.22,1,0.004,11.23,1,0.0018,28.22,1,0.0155,23.51,1,0.0289,40.48,1,0.0145,33.4,1,0.0091,4.55,1,0.0022,3.85,1,0.0294,72.28,1,0.0032,70.49,1,0.0077
