0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
78.1600,0.0000,92.0100,0.0000,25.9100,0.0000,65.0000,0.0000,35.0000,0.0000,75.0600,0.0000,59.1700,0.0000,31.6500,0.0000,61.1300,0.0000,13.9800,0.0000,38.3400,0.0000,106.6500,0.0000,75.1000,0.0000,61.0100,0.0000,29.1300,0.0000,93.2700,0.0000,10.4700,0.0000,26.6700,0.0000,19.6200,0.0000,37.3500,0.0000,32.9700,0.0000,4.5000,0.0000,3.5500,0.0000,70.5200,0.0000,69.2400,0.0000
78.4700,0.0040,96.5900,0.0498,25.8500,-0.0023,64.8000,-0.0031,35.0200,0.0006,74.9500,-0.0015,57.6400,-0.0259,31.5900,-0.0019,61.4000,0.0044,13.6600,-0.0229,37.7500,-0.0154,106.7800,0.0012,73.6000,-0.0200,62.2300,0.0200,29.8200,0.0237,93.5500,0.0030,10.7200,0.0239,26.6400,-0.0011,19.5800,-0.0020,37.4000,0.0013,32.5100,-0.0140,4.6000,0.0222,3.5500,0.0000,70.5300,0.0001,68.8000,-0.0064
79.8400,0.0175,95.9800,-0.0063,25.9600,0.0043,65.3700,0.0088,35.2300,0.0060,75.7245,0.0103,58.4100,0.0134,32.0100,0.0133,61.7300,0.0054,14.7300,0.0783,38.1300,0.0101,107.4700,0.0065,73.5400,-0.0008,62.6900,0.0074,29.8600,0.0013,93.9000,0.0037,10.8800,0.0149,26.7400,0.0038,20.1900,0.0312,37.7100,0.0083,33.2207,0.0219,4.6600,0.0130,3.5000,-0.0141,70.8800,0.0050,69.0600,0.0038
79.8800,0.0005,99.2004,0.0336,25.9800,0.0008,65.8800,0.0078,35.3900,0.0045,76.8800,0.0153,59.1400,0.0125,31.8500,-0.0050,61.5600,-0.0028,14.8400,0.0075,37.9400,-0.0050,108.2600,0.0074,72.7600,-0.0106,62.0000,-0.0110,29.6600,-0.0067,94.2200,0.0034,10.9100,0.0028,26.6600,-0.0030,19.8000,-0.0193,37.9600,0.0066,32.9200,-0.0091,4.6000,-0.0129,3.4400,-0.0171,70.5492,-0.0047,68.4000,-0.0096
81.7200,0.0230,97.1563,-0.0206,26.0200,0.0015,65.4700,-0.0062,34.3500,-0.0294,77.4000,0.0068,59.7400,0.0101,31.9400,0.0028,61.6800,0.0019,15.1600,0.0216,38.1400,0.0053,107.3300,-0.0086,72.6700,-0.0012,62.7400,0.0119,29.3700,-0.0098,92.9600,-0.0134,11.0300,0.0110,26.6800,0.0008,19.6500,-0.0076,37.8400,-0.0032,32.9700,0.0015,4.5300,-0.0152,3.3700,-0.0203,71.3000,0.0106,68.5900,0.0028
82.1100,0.0048,95.9100,-0.0128,26.4700,0.0173,67.7300,0.0345,34.2400,-0.0032,77.8700,0.0061,59.6000,-0.0023,31.6500,-0.0091,61.4900,-0.0031,15.1300,-0.0020,38.6600,0.0136,107.5600,0.0021,72.5900,-0.0011,62.4900,-0.0040,29.9700,0.0204,93.9900,0.0111,11.0000,-0.0027,27.0500,0.0139,19.6200,-0.0015,38.2200,0.0100,33.2700,0.0091,4.6000,0.0155,3.4200,0.0148,70.8000,-0.0070,68.5700,-0.0003
83.0100,0.0110,98.0000,0.0218,26.7600,0.0110,67.5400,-0.0028,34.3700,0.0038,77.9400,0.0009,60.6100,0.0169,32.2800,0.0199,61.9900,0.0081,15.1400,0.0007,38.6200,-0.0010,107.4000,-0.0015,73.1800,0.0081,63.8000,0.0210,30.4400,0.0157,94.1100,0.0013,11.0700,0.0064,27.3100,0.0096,20.3400,0.0367,38.0400,-0.0047,33.6400,0.0111,4.6200,0.0043,3.3400,-0.0234,71.4900,0.0097,68.3600,-0.0031
83.0800,0.0008,101.2900,0.0336,26.5200,-0.0090,67.5500,0.0001,34.2700,-0.0029,78.0800,0.0018,60.9100,0.0049,32.1500,-0.0040,61.9300,-0.0010,14.7800,-0.0238,38.0900,-0.0137,107.0000,-0.0037,72.7800,-0.0055,64.1300,0.0052,30.3600,-0.0026,93.7100,-0.0043,11.0500,-0.0018,27.4200,0.0040,20.1700,-0.0084,38.2800,0.0063,33.5000,-0.0042,4.5200,-0.0216,3.4000,0.0180,71.7800,0.0041,68.6300,0.0039
82.6700,-0.0049,103.4450,0.0213,26.7400,0.0083,67.5600,0.0001,34.0200,-0.0073,77.7700,-0.0040,61.2000,0.0048,32.0600,-0.0028,61.9400,0.0002,14.6700,-0.0074,38.1600,0.0018,107.3600,0.0034,72.9400,0.0022,64.2300,0.0016,30.3300,-0.0010,93.9100,0.0021,11.0200,-0.0027,27.4800,0.0022,20.0700,-0.0050,38.3000,0.0005,33.4700,-0.0009,4.6100,0.0199,3.4000,0.0000,71.6900,-0.0013,68.3000,-0.0048
82.4900,-0.0022,101.6900,-0.0170,26.6200,-0.0045,67.7400,0.0027,33.7600,-0.0076,77.3600,-0.0053,61.3400,0.0023,31.9300,-0.0041,61.8100,-0.0021,14.3100,-0.0245,38.1500,-0.0003,108.7000,0.0125,73.2100,0.0037,64.3400,0.0017,30.6000,0.0089,94.0200,0.0012,11.0800,0.0054,27.7100,0.0084,20.4300,0.0179,38.4700,0.0044,33.2800,-0.0057,4.5700,-0.0087,3.3600,-0.0118,71.8800,0.0027,68.9800,0.0100
